Iteration,AdaGrad,RMSprop,Adam
0,0.0,0.0,0.0
1,0.09999999975000001,0.316227763516838,0.09999999975000001
2,0.16887494582139706,0.5261246828674864,0.19984509151311583
3,0.22417848454319547,0.6912821287083626,0.2994196930483894
4,0.27144296169907833,0.8301601842608246,0.3985983549023401
